id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2395, Bayburt , Resit , 04/02/2019 ,   Yok ,Tartisma,,Oglu,,Atesli Silah,,, Tutuklu ,2019
2396, Bayburt , Resit , 04/02/2019 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Kesici Alet,,, Araniyor ,2019
2397, Bilecik ,, 04/02/2019 ,   Var,Ayrilik Talebi,,Tespit Edilemeyen,,Kesici Alet,,, Tutuklu ,2019
2398, Mugla ,, 04/03/2019 ,   Yok ,Kiskanclik,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2019
2399, Bolu ,, 04/04/2019 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2019
2400, Bolu , Resit , 04/04/2019 ,   Yok ,Tartisma,,Sevgilisi,,Bogulma,Darp,, Tutuklu ,2019
2401, Burdur , Tespit Edilemeyen, 04/05/2019 ,   Yok,Tartisma,,Babasi,,Atesli Silah,,, Intihar ,2019
2402, Burdur ,, 04/06/2019 ,   Tespit Edilemeyen ,Bosanma,,Damadi,,Atesli Silah,,,,2019
2403, Bursa , Resit , 04/06/2019 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2019
2404, Bursa , Resit , 04/09/2019 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Bogulma,,, Araniyor ,2019
2405, Bursa ,, 04/10/2019 ,   Var ,Kizini Korurken,,Damadi,,Kesici Alet,Atesli Silah,, Intihar ,2019
2406, Bursa ,, 04/11/2019 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Intihar ,2019
2407, Bursa , Resit , 04/12/2019 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2019
2408, Bursa , Resit , 05/01/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2019
2409, Bursa , Resit , 05/01/2019 ,   Var,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2019
2410, Bursa , Resit , 05/01/2019 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
2411, Bursa , Resit , 05/01/2019 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2019
2412, Bursa , Resit , 05/01/2019 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2019
2413, Corlu ,, 05/02/2019 ,   Yok ,Bosanma,,Eski Kocasi,,Atesli Silah,,,,2019
2414, Corum ,, 05/03/2019 ,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2019
2415, Corum , Resit , 05/03/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2019
2416, Corum , Resit , 05/03/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2019
2417, Denizli ,, 05/04/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2019
2418, Denizli ,, 05/07/2019 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
